"1","001","ACACOYAGUA","7","7",NULL,NULL,NULL
"2","002","ACALA","7","1",NULL,NULL,NULL
"3","003","ACAPETAHUA","7","7",NULL,NULL,NULL
"4","004","ALTAMIRANO","7","9",NULL,NULL,NULL
"5","005","AMATÁN","7","5",NULL,NULL,NULL
"6","006","AMATENANGO DE LA FRONTERA","7","10",NULL,NULL,NULL
"7","007","AMATENANGO DEL VALLE","7","2",NULL,NULL,NULL
"8","008","ANGEL ALBINO CORZO","7","4",NULL,NULL,NULL
"9","009","ARRIAGA","7","8",NULL,NULL,NULL
"10","010","BEJUCAL DE OCAMPO","7","10",NULL,NULL,NULL
"11","011","BELLA VISTA","7","10",NULL,NULL,NULL
"12","012","BERRIOZÁBAL","7","1",NULL,NULL,NULL
"13","013","BOCHIL","7","5",NULL,NULL,NULL
"14","014","EL BOSQUE","7","5",NULL,NULL,NULL
"15","015","CACAHOATÁN","7","7",NULL,NULL,NULL
"16","016","CATAZAJÁ","7","6",NULL,NULL,NULL
"17","017","CINTALAPA","7","1",NULL,NULL,NULL
"18","018","COAPILLA","7","1",NULL,NULL,NULL
"19","019","COMITÁN DE DOMÍNGUEZ","7","3",NULL,NULL,NULL
"20","020","LA CONCORDIA","7","4",NULL,NULL,NULL
"21","021","COPAINALÁ","7","1",NULL,NULL,NULL
"22","022","CHALCHIHUITÁN","7","2",NULL,NULL,NULL
"23","023","CHAMULA","7","2",NULL,NULL,NULL
"24","024","CHANAL","7","2",NULL,NULL,NULL
"25","025","CHAPULTENANGO","7","5",NULL,NULL,NULL
"26","026","CHENALHÓ","7","2",NULL,NULL,NULL
"27","027","CHIAPA DE CORZO","7","1",NULL,NULL,NULL
"28","028","CHIAPILLA","7","1",NULL,NULL,NULL
"29","029","CHICOASÉN","7","1",NULL,NULL,NULL
"30","030","CHICOMUSELO","7","3",NULL,NULL,NULL
"31","031","CHILÓN","7","9",NULL,NULL,NULL
"32","032","ESCUINTLA","7","7",NULL,NULL,NULL
